Channel,Freq,Anten1,Anten2
1,2412,19.975,19.708
2,2417,19.865,19.765
3,2422,19.72,19.832
4,2427,19.515,19.86
5,2432,19.377,19.93
6,2437,19.24,19.96
7,2442,19.64,19.57
8,2447,19.515,19.592
9,2452,19.472,19.645
10,2457,19.352,19.675
11,2462,19.675,19.74
12,2467,19.612,19.765
13,2472,19.522,19.785
34,5170,18.265,17.935
36,5180,18.182,18.11
38,5190,17.92,18.13
40,5200,17.805,18.165
42,5210,18.645,18.132
44,5220,18.5,18.08
46,5230,18.455,18.055
48,5240,18.305,18.05
50,5250,18.282,18.05
52,5260,18.178,18.008
54,5270,18.208,18.068
56,5280,18.268,18.235
58,5290,17.822,17.402
60,5300,17.895,17.582
62,5310,18.015,17.785
64,5320,18.195,17.93
100,5500,18.305,17.943
102,5510,18.26,17.908
104,5520,18.215,17.862
106,5530,18.26,18.725
108,5540,18.215,18.56
110,5550,18.282,18.542
112,5560,18.348,18.378
114,5570,18.31,18.285
116,5580,18.342,18.17
118,5590,18.208,17.985
120,5600,18.342,17.998
122,5610,18.597,18.232
124,5620,18.807,18.315
126,5630,17.912,17.51
128,5640,18.005,17.615
132,5660,18.175,17.832
134,5670,18.165,17.862
136,5680,18.152,17.922
138,5690,18.205,18.03
140,5700,18.39,18.11
142,5710,18.398,18.198
144,5720,18.47,18.435
149,5745,18.675,17
151,5755,18.645,17.228
153,5765,18.583,17.505
155,5775,18.43,17.732
157,5785,18.242,17.968
159,5795,18.065,18.25
161,5805,18.225,17.968
165,5825,18.38,17.962
169,5845,18.24,18.282
173,5865,18.09,18.428
